Hash|Date|Author|Commit message
2bf9d6d|2020-08-26|Pavel Tisnovsky|Sheets with one boolean and one real value
e9b3b65|2020-08-26|Pavel Tisnovsky|Sheet with just one integer value
9cabc4c|2020-08-25|Pavel Tisnovsky|Date, time, and datetime formats
d829b47|2020-08-25|Pavel Tisnovsky|Styles shared between cells
bf7a438|2020-08-25|Pavel Tisnovsky|Style usages
24d9f3a|2020-08-25|Pavel Tisnovsky|Hyperlinks in cells
f5e68a3|2020-08-25|Pavel Tisnovsky|Formula usage
767b2fa|2020-08-25|Pavel Tisnovsky|Formatting numbers
2e25247|2020-07-17|Pavel Tisnovsky|Example #33: graph serialization
4ca539c|2020-07-17|Pavel Tisnovsky|Example #32: third serialization formats comparison
b03c99b|2020-07-17|Pavel Tisnovsky|Example #31: second serialization formats comparison
03d07f4|2020-07-17|Pavel Tisnovsky|Example #30: first serialization formats comparison
488a1d1|2020-07-17|Pavel Tisnovsky|Marshalling into XML
51c1306|2020-07-16|Pavel Tisnovsky|Updated .gitignore file
ea0d8cf|2020-07-14|Pavel Tisnovsky|Max value computation
cb2284d|2020-07-14|Pavel Tisnovsky|Reduce method for anonymous type
e49bdf1|2020-07-14|Pavel Tisnovsky|Sort method for anonymous type
92671d5|2020-07-14|Pavel Tisnovsky|Map method for anonymous type
cce5f77|2020-07-14|Pavel Tisnovsky|Filter method for anonymous type
1f2fc4f|2020-07-13|Pavel Tisnovsky|Example #20: Reduce method
5992500|2020-07-13|Pavel Tisnovsky|Example #19: Improper combination of more stream manipulators
c975f68|2020-07-13|Pavel Tisnovsky|Example #18: Combination of more stream manipulators
c195f07|2020-07-13|Pavel Tisnovsky|Example #17: Reverse method and streams
bd058bb|2020-07-13|Pavel Tisnovsky|Example #16: Sort method and streams
9844102|2020-05-25|Pavel Tišnovský|Merge pull request #107 from dmvolod/fix-lesson6-slide16
afa3d48|2020-05-25|Pavel Tišnovský|Merge pull request #106 from dmvolod/fix-lesson6-slide5
98462af|2020-05-25|Dmitry Volodin|Use const for addr
7f02499|2020-05-25|Dmitry Volodin|lesson6 slide 16: Fix display to fit Run button
f1c6411|2020-05-25|Dmitry Volodin|Fix lesson6 slide5 code and display
